Place Team                           Score
203   duc                            10   
204   R@Dw0rm                        10   
205   EpicTeam                       10   
206   robopt                         10   
207   SDSLabs                        10   
208   jtl999                         10   
209   l3@rnh@ck                      10   
210   0b10100111001                  10   
211   Yorkshire Airlines             10   
212   Dracoborg                      10   
213   rufo                           10   
214   glaros                         10   
215   Songuku95                      10   
216   W--                            10   
217   girav                          10   
218   brickbat                       10   
219   _ILIT$team                     10   
220   vito@legitbs.net               10   
221   Poopxt                         10   
222   test account DO NOT USE        10   
223   EvilsWorld                     10   
224   0x40                           10   
225   iamnotatreadmill               10   
226   Akatsuki no Yona               10   
227   Mardhatillah                   10   
228   MheDa                          10   
229   Crypt0boys                     10   
230   KeyStrOke                      10   
231   Mako                           10   
232   BigBang                        10   
233   c407                           10   
234   WeAreBuyingCatsInBags          10   
235   WhiteHatPanda                  10   
236   StevenStewartGallus            10   
237   dynadolos                      10   
238   gctf                           10   
239   LosAmigos                      10   
240   Awia                           10   
241   GreyBell                       10   
242   0utl4st                        10   
243   squareroots                    10   
244   hell                           10   
245   s111                           10   
246   getctf                         10   
247   Ozi                            10   
248   zeus                           10   
249   ShieldsUp                      10   
250   BioHazard                      10   
251   storm                          10   
252   OPT                            10   
253   sammyxj                        10   
254   The DHARMA Initiative          10   
255   f0sbrk                         10   
256   LittleBobbyTables              10   
257   BranU                          10   
258   GameOfPWNZ                     10   
259   toxicbandits                   10   
260   X+1                            10   
261   ttt                            10   
262   vladvis                        10   
263   NCC1701D                       10   
264   D0r43m0n                       10   
265   Kurawa In Disorder             10   
266   IamTryingThis                  10   
267   YVRctfTEST                     10   
268   RooterX                        10   
269   Arjun                          10   
270   Insanity                       10   
271   bucsec                         10   
272   anz77                          10   
273   GeeksSpeak                     10   
274   Medini                         10   
275   glu                            10   
276   0x90                           10   
277   NaykiSec                       10   
278   hacktheplanet                  10   
279   psaux                          10   
280   Radu                           10   
281   ph                             10   
282   NeuralCommon                   10   
283   krach                          10   
284   qabli                          10   
285   Hackosis                       10   
286   negation                       10   
287   flag{bonus}                    10   
288   possi                          10   
289   failedxyz                      10   
290   Andy                           10   
291   dook                           10   
292   jaml                           10   
293   pman                           10   
294   hammerzeit                     10   
295   tsun                           10   
296   n00bz0rd                       10   
297   Sloth Krew                     10   
298   Falcon                         10   
299   Yamagi.com                     10   
300   ctflovers                      10   
301   Invisible Shield               10   
302   Muffins                        10   
303   rshtirmer                      10   
304   WizardVan                      10   
305   aer                            10   
306   brodo                          10   
307   tvt                            10   
308   bcs                            10   
309   Deena                          10   
310   XVHHV                          10   
311   hf_c500                        10   
312   hdarwin                        10   
313   Trundleomatik                  10   
314   raymoneliu                     10   
315   errormaster                    10   
316   IDK_IDC                        10   
317   rojonls                        10   
318   mandarwaa                      10   
319   6c1t                           10   
320   dpnz                           10   
321   grayreaver                     10   
322   R.T                            10   
323   Mathew                         10   
324   botb                           10   
325   fetter                         10   
326   l0stb1t                        10   
327   Danger Dog                     10   
328   OneEyedJack                    10   
329   j-joker                        10   
330   codenamelxl                    10   
331   zhudixia                       10   
332   newdominic                     10   
333   Bonnie                         10   
334   hmrb                           10   
335   shinichikudo_1212              10   
336   lazza                          10   
337   sonickun                       10   
338   phle                           10   
339   bucen                          10   
340   olala8080                      10   
341   dul.ac                         10   
342   kpoustas                       10   
343   Yozik                          10   
344   calmarj                        10   
345   myvrctf                        10   
346   1N7H3H4YS74CK                  10   
347   H4rryp0tt3r                    10   
348   rmrf                           10   
349   UnnamedMonster                 10   
350   mochigoma                      10   
351   knc                            10   
352   przemek                        10   
353   1.26am                         10   
354   KernelPanic                    10   
355   Roan                           10   
356   amn3s1a                        10   
357   armageddon                     10   
358   l0lextreme                     10   
359   aoeu                           10   
360   Severus                        10   
361   aaab                           10   
362   Hell.zip                       10   
363   twoks                          10   
364   delta                          10   
365   Raftim                         10   
366   ********                       10   
367   Team_Name                      10   
368   slank                          10   
369   redDragon                      10   
370   matsuki_svenson                10   
371   lightless                      10   
372   Cyberdev                       10   
373   chikuwa                        10   
374   K4pT3N                         10   
375   stria                          10   
376   impctf                         10   
377   mathboy7                       10   
378   rtttt                          10   
379   angiulino                      10   
380   pegas                          10   
381   z                              10   
382   tendonx                        10   
383   Vladimirs                      10   
384   veorq                          10   
385   evgsol                         10   
386   ColorOS                        10   
387   DarkKnights                    10   
388   Wiremask                       10   
389   nowomen                        10   
390   rezk2ll                        10   
391   SFera                          10   
392   monads                         10   
393   FAUST                          10   
394   BYTE                           10   
395   CND_CatNeverDie                10   
396   FluxFingers                    10   
397   tkito                          10   
398   n0tfound                       10   
399   Dam flud la dusmani            10   
400   dummyz                         10   
401   abra                           10   
402   usedoils                       10   
403   FrostByte                      10   
404   toto                           10   
405   fuhgeddaboudit                 10   
406   Without Proper Instructions    10   
407   thebatmans                     10   
408   zairo                          10   
409   m                              10   
410   Mark_nnn                       10   
411   Team Sack                      10   
412   Shell within a Shell           10   
413   medicean                       10   
414   GeruzoniAnsasu                 10   
415   christopher silvia             10   
416   concac                         10   
417   alone                          10   
