Place Team                           Score
373   deptrai1stvutru                20   
374   atinydog                       20   
375   kernelsndrs                    20   
376   RedLee                         20   
377   Greg                           20   
378   koolkiizz                      20   
379   Booty Wizard                   10   
380   SDSLabs                        10   
381   pherris                        10   
382   hs                             10   
383   dchanm                         10   
384   BeanZ                          10   
385   cenas                          10   
386   c0rner                         10   
387   snoopythesecuritydog           10   
388   Me                             10   
389   thesquid08                     10   
390   Council of Squirrels           10   
391   Scales                         10   
392   avlidienbrunn                  10   
393   Aegeofzo                       10   
394   nakslim                        10   
395   odin                           10   
396   Mr.Gedik                       10   
397   thnimint                       10   
398   kernelP                        10   
399   darrell                        10   
400   CCc                            10   
401   f1063301@trbvm.com             10   
402   jake                           10   
403   x44                            10   
404   Astra                          10   
405   yohlane                        10   
406   stanbsl                        10   
407   testtest                       10   
408   Dawid                          10   
409   atr0phy                        10   
410   bilgor                         10   
411   TH3 H4CK3R5                    10   
412   rndlgrvs                       10   
413   (◕‿◕✿)                         10   
414   Tanner                         10   
415   asd                            10   
416   D0k3                           10   
417   uhuy                           10   
418   super_c0ck                     10   
419   kurobeats                      10   
420   zildjiean                      10   
421   DFDI                           10   
422   Nxgr                           10   
423   image                          10   
424   Greyhat                        10   
425   Pitr                           10   
426   TLIS                           10   
427   V0!dL00p                       10   
428   blabla                         10   
429   dth                            10   
430   plopperdeplop                  10   
431   lamont.SUPREME                 10   
432   kharrat                        10   
433   DiGIMON                        10   
434   Binh                           10   
435   @joseBeo                       10   
436   hainho                         10   
437   TheStorm                       10   
438   kiddie                         10   
